Year,cardio_diseases_worldmean,cardio_diseases_arg
1990,59128,98783
1991,59903,97610
1992,60970,98286
1993,62755,97030
1994,63854,94314
1995,64359,94708
1996,64772,94471
1997,65392,94388
1998,65988,95359
1999,67259,95713
2000,68417,91977
2001,69537,91810
2002,71087,93054
2003,72111,93723
2004,72284,91239
2005,73507,89381
2006,73489,89434
2007,74105,91606
2008,75500,89122
2009,76238,89543
2010,77638,91734
2011,78619,92474
2012,79634,92630
2013,80834,93311
2014,81940,93640
2015,83773,95955
2016,85288,100391
2017,86696,101975
2018,88794,100742
2019,90942,101725
